TotalSpecies,TotalSpecies_VegetatedSites,TotalSpecies_VegetatedSites_NoExotics,Site,latitude,longitude,Depth_ft,"Dominant sediment type (M=muck, S=Sand, R=Rock)",Rake,Filamentous algae
0,0,0,498,43.05677706,-89.41124867,,,,
0,0,0,499,43.05740738,-89.41124264,,,,
0,0,0,500,43.05078684,-89.41087622,,,,
0,0,0,501,43.05141715,-89.41087018,,,,
0,0,0,502,43.05204747,-89.41086415,,,,
0,0,0,503,43.05267779,-89.41085812,,,,
0,0,0,504,43.0533081,-89.41085208,,,,
0,0,0,505,43.05393842,-89.41084605,,,,
0,0,0,506,43.05456874,-89.41084001,,,,
0,0,0,507,43.05519905,-89.41083398,,,,
4,4,3,508,43.05582937,-89.41082795,6,S,3,
0,0,0,509,43.05645969,-89.41082191,,,,
0,0,0,510,43.05709001,-89.41081588,,,,
0,0,0,511,43.0517301,-89.41043742,,,,
0,0,0,512,43.05236042,-89.41043139,,,,
0,0,0,513,43.05299073,-89.41042535,,,,
4,4,3,514,43.05362105,-89.41041931,4.5,M,3,
0,0,0,515,43.05425137,-89.41041327,,,,
0,0,0,516,43.05488168,-89.41040723,,,,
2,2,1,517,43.055512,-89.4104012,5,M,3,
0,0,0,518,43.05614232,-89.41039516,,,,
0,0,0,519,43.05677263,-89.41038912,,,,
0,0,0,520,43.05740295,-89.41038308,,,,
0,0,0,521,43.05204304,-89.41000466,,,,
0,0,0,522,43.05267336,-89.40999862,,,,
4,4,3,523,43.05330368,-89.40999258,3.5,S,3,
3,3,2,524,43.05393399,-89.40998653,3.5,M,2,
6,6,5,525,43.05456431,-89.40998049,3.5,S,2,
5,5,4,526,43.05519463,-89.40997445,4,S,3,
0,0,0,527,43.05582494,-89.40996841,,,,
0,0,0,528,43.05645526,-89.40996236,,,,
0,0,0,529,43.05708558,-89.40995632,,,,
0,0,0,530,43.05550757,-89.40954166,,,,
0,0,0,531,43.05613788,-89.40953561,,,,
0,0,0,532,43.0567682,-89.40952956,,,,
0,0,0,533,43.05739852,-89.40952352,,,,
0,0,0,534,43.05582051,-89.40910887,,,,
0,0,0,535,43.05645082,-89.40910281,,,,
0,0,0,536,43.05708114,-89.40909676,,,,
0,0,0,537,43.05771146,-89.40909071,,,,
0,0,0,538,43.05739408,-89.40866395,,,,
0,0,0,539,43.05770702,-89.40823114,,,,
0,0,0,540,43.05801995,-89.40779833,,,,
0,0,0,541,43.05770257,-89.40737157,,,,
0,0,0,542,43.05738518,-89.40694483,,,,
0,0,0,543,43.05769811,-89.40651201,,,,
